temps_s,rssi_dbm
0.016525745391845703,-22
0.1274266242980957,-22
0.23796749114990234,-22
0.3483083248138428,-22
0.4586961269378662,-22
0.5691814422607422,-22
0.6795434951782227,-22
0.7896065711975098,-22
0.8968992233276367,-22
1.0039243698120117,-22
1.1111972332000732,-22
1.2201588153839111,-22
1.327167272567749,-22
1.4342358112335205,-22
1.5413355827331543,-22
1.6479971408843994,-22
1.7551589012145996,-22
1.8654301166534424,-21
1.9722959995269775,-21
2.079369068145752,-21
2.186035394668579,-21
2.2956976890563965,-21
2.402843952178955,-21
2.509685754776001,-22
2.619882345199585,-22
2.7296676635742188,-22
2.8396644592285156,-22
2.9497623443603516,-22
3.060089111328125,-22
3.1703622341156006,-22
3.28078556060791,-22
3.3908116817474365,-22
3.501011848449707,-22
3.6110990047454834,-23
3.720919370651245,-23
3.8310534954071045,-23
3.9413259029388428,-23
4.0516743659973145,-23
4.161763668060303,-23
4.271820306777954,-23
4.381774425506592,-23
4.491451740264893,-23
4.60148286819458,-24
4.71136999130249,-24
4.821977138519287,-24
4.931821346282959,-24
5.045409679412842,-23
5.158302307128906,-23
5.272861480712891,-23
5.3854711055755615,-23
5.497624397277832,-23
5.610248565673828,-23
5.72331976890564,-23
5.836369276046753,-23
5.949681758880615,-23
6.062593936920166,-23
6.1752800941467285,-23
6.2875964641571045,-23
6.399946689605713,-23
6.513139724731445,-23
6.6269004344940186,-23
6.7402565479278564,-23
6.853390216827393,-23
6.966039419174194,-23
7.078888893127441,-23
7.191603660583496,-23
7.30096435546875,-23
7.4102349281311035,-23
7.519444704055786,-23
7.628739595413208,-22
7.737899303436279,-22
7.847038507461548,-22
7.956660270690918,-22
8.065848588943481,-22
8.178356170654297,-21
8.291196823120117,-21
8.403842449188232,-21
8.515495538711548,-21
8.624614715576172,-21
8.73384165763855,-21
8.842854976654053,-21
8.951919317245483,-21
9.061097621917725,-21
9.170907974243164,-21
9.281644582748413,-21
9.394110202789307,-26
9.506706237792969,-26
9.620181560516357,-27
9.732672452926636,-27
9.845099925994873,-27
9.95741057395935,-27
10.069867372512817,-27
10.182366609573364,-28
10.294539213180542,-28
10.406891822814941,-28
10.519218444824219,-28
